chr	pos	gene	strand	type	stop_pos
chr6	55875183	BMP5	reverse	five_prime_utr	55875103
chr1	163322158	NUF2	forward	five_prime_utr	163326036
chr12	131929381	PUS1	forward	five_prime_utr	131929437
chr16	89657677	CHMP1A	reverse	five_prime_utr	89657648
chr8	143596961	EEF1D	reverse	five_prime_utr	143596878
chr17	68515001	RP11-120M18.2	forward	five_prime_utr	68515096
chr5	98769617	RGMB	forward	five_prime_utr	98770666
chr17	47831879	LRRC46	forward	five_prime_utr	47831908
chr7	84194646	SEMA3A	reverse	five_prime_utr	84194617
chr5	141182466	PCDHB16	forward	five_prime_utr	141182537
chr6	28252035	ZKSCAN4	reverse	five_prime_utr	28252006
chr3	168095559	GOLIM4	reverse	five_prime_utr	168095443
chr2	27134581	PREB	reverse	five_prime_utr	27134486
chr5	61161178	SMIM15	reverse	five_prime_utr	61161110
chr13	30464293	HMGB1	reverse	five_prime_utr	30464129
chr10	124092335	CHST15	reverse	five_prime_utr	124046509
chr2	68319661	CNRIP1	reverse	five_prime_utr	68319533
chr16	29974379	TAOK2	forward	five_prime_utr	29974471
chr9	86100053	GOLM1	reverse	five_prime_utr	86100021
chr1	235367449	TBCE	forward	five_prime_utr	235367508
chr22	36922080	CSF2RB	forward	five_prime_utr	36922199
chr15	74782536	CSK	forward	five_prime_utr	74798251
chr1	220089775	BPNT1	reverse	five_prime_utr	220089713
chr1	74733043	CRYZ	reverse	five_prime_utr	74732942
chr4	89836985	SNCA	reverse	five_prime_utr	89836809
chr4	82373950	HNRNPD	reverse	five_prime_utr	82373906
chr11	86955304	FZD4	reverse	five_prime_utr	86955260
chr17	67377666	PITPNC1	forward	five_prime_utr	67377821
chr3	183269564	B3GNT5	forward	five_prime_utr	183269644
chr12	49265111	TUBA1C	forward	five_prime_utr	49265179
chr14	22871954	LRP10	forward	five_prime_utr	22872004
chr19	39391055	PAF1	reverse	five_prime_utr	39390897
chr1	93346162	DR1	forward	five_prime_utr	93346221
chr11	36510193	TRAF6	reverse	five_prime_utr	36510113
chr1	85708384	ZNHIT6	reverse	five_prime_utr	85708355
chr22	23180706	BCR	forward	five_prime_utr	23180912
chr19	56404379	ZNF583	forward	five_prime_utr	56404456
chr1	226408064	PARP1	reverse	five_prime_utr	226407975
chr22	38656704	CBY1	forward	five_prime_utr	38656965
chr18	35290130	ZSCAN30	reverse	five_prime_utr	35290080
chr7	50449173	FIGNL1	reverse	five_prime_utr	50448211
chr5	139307245	MATR3	forward	five_prime_utr	139307331
chr4	56978921	POLR2B	forward	five_prime_utr	56978962
chr8	102850083	AZIN1	reverse	five_prime_utr	102849991
chrX	85244180	ZNF711	forward	five_prime_utr	85245932
chrX	101623271	ARMCX3	forward	five_prime_utr	101623891
chr12	103956965	C12orf73	reverse	five_prime_utr	103956909
chr6	26365215	BTN3A2	forward	five_prime_utr	26365271
chr8	42049237	KAT6A	reverse	five_prime_utr	42049151
chr11	14359139	RRAS2	reverse	five_prime_utr	14359017
chr19	2236848	SF3A2	forward	five_prime_utr	2236922
chr17	37491572	DUSP14	forward	five_prime_utr	37510716
chr12	21501210	RECQL	reverse	five_prime_utr	21499615
chr15	42495667	SNAP23	forward	five_prime_utr	42495717
chr8	42049295	KAT6A	reverse	five_prime_utr	42049263
chr12	74537971	ATXN7L3B	forward	five_prime_utr	74538030
chr10	102466057	MFSD13A	forward	five_prime_utr	102466167
chrX	102721019	BHLHB9	forward	five_prime_utr	102721069
chr1	231422223	EGLN1	reverse	five_prime_utr	231422164
chr5	69234867	CDK7	forward	five_prime_utr	69234911
chr4	87391208	HSD17B11	reverse	five_prime_utr	87391149
chr19	58229534	ZNF544	forward	five_prime_utr	58230407
chr11	66002874	BANF1	forward	five_prime_utr	66003065
chr19	9140385	ZNF317	forward	five_prime_utr	9155962
chr2	98608596	UNC50	forward	five_prime_utr	98608715
chr16	29973922	TAOK2	forward	five_prime_utr	29973996
chr4	133149445	PCDH10	forward	five_prime_utr	133149498
chr20	58514995	APCDD1L	reverse	five_prime_utr	58514867
chr11	122655795	UBASH3B	forward	five_prime_utr	122655824
chr5	88827053	MEF2C	reverse	five_prime_utr	88823901
chr9	113410919	C9orf43	forward	five_prime_utr	113410957
chr3	152299948	MBNL1	forward	five_prime_utr	152299980
chr18	50879180	ME2	forward	five_prime_utr	50879236
chr22	41688865	SNU13	reverse	five_prime_utr	41688824
chr12	57111364	STAT6	reverse	five_prime_utr	57111161
chr2	158457172	PKP4	forward	five_prime_utr	158457210
chr12	69562231	FRS2	forward	five_prime_utr	69562278
chr2	200889581	NIF3L1	forward	five_prime_utr	200889640
chr11	27472708	LGR4	reverse	five_prime_utr	27472640
chrX	130081532	ELF4	reverse	five_prime_utr	130081500
chr11	96390547	JRKL	forward	five_prime_utr	96390633
chr13	20161047	GJA3	reverse	five_prime_utr	20143293
chr14	93184587	MOAP1	reverse	five_prime_utr	93184555
chr22	29388478	AP1B1	reverse	five_prime_utr	29388269
chr1	155308891	FDPS	forward	five_prime_utr	155309028
chr19	55599504	FIZ1	reverse	five_prime_utr	55597900
chr12	69738958	RAB3IP	forward	five_prime_utr	69738990
chr1	170663132	PRRX1	forward	five_prime_utr	170663227
chr22	49883520	ZBED4	forward	five_prime_utr	49883576
chr1	53889463	YIPF1	reverse	five_prime_utr	53889353
chr2	218660354	BCS1L	forward	five_prime_utr	218660413
chr15	81001218	MESDC1	forward	five_prime_utr	81001337
chrX	103357099	TCEAL9	forward	five_prime_utr	103357146
chr1	145996324	TXNIP	reverse	five_prime_utr	145996283
chr1	185316985	IVNS1ABP	reverse	five_prime_utr	185311281
chr6	36678896	CDKN1A	forward	five_prime_utr	36680597
chr14	55027425	SOCS4	forward	five_prime_utr	55031911
chr2	218568257	USP37	reverse	five_prime_utr	218568174
chr1	50970294	CDKN2C	forward	five_prime_utr	50970335
chr11	43311987	API5	forward	five_prime_utr	43312097
chr8	129939680	FAM49B	reverse	five_prime_utr	129939633
chr1	184754831	EDEM3	reverse	five_prime_utr	184754727
chr4	7939740	AFAP1	reverse	five_prime_utr	7939657
chr14	23095596	C14orf119	forward	five_prime_utr	23095742
chr14	51570357	FRMD6	forward	five_prime_utr	51689696
chr16	89490551	ANKRD11	reverse	five_prime_utr	89490471
chr1	153922901	GATAD2B	reverse	five_prime_utr	153922758
chr2	105816498	NCK2	forward	five_prime_utr	105816530
chr6	17706702	NUP153	reverse	five_prime_utr	17706454
chr14	51651973	FRMD6	forward	five_prime_utr	51689696
chr1	45550844	AKR1A1	forward	five_prime_utr	45552446
chr11	34051774	CAPRIN1	forward	five_prime_utr	34051845
chrX	104156971	SLC25A53	reverse	five_prime_utr	104156930
chr5	150520945	NDST1	forward	five_prime_utr	150521025
chr12	59596178	SLC16A7	forward	five_prime_utr	59596240
chr15	58987843	RNF111	forward	five_prime_utr	58987926
chr6	31542011	DDX39B	reverse	five_prime_utr_three_prime_utr	31541946
chr4	40191288	RHOH	forward	five_prime_utr	40191347
chr8	86368958	WWP1	forward	five_prime_utr	86369032
chr1	52553096	ZCCHC11	reverse	five_prime_utr	52552947
chr14	38209060	SSTR1	forward	five_prime_utr	38209104
chr19	32406252	DPY19L3	forward	five_prime_utr	32406302
chr13	27445118	MTIF3	reverse	five_prime_utr	27445053
chr6	116258838	DSE	forward	five_prime_utr	116258924
chr4	118835958	SEC24D	reverse	five_prime_utr	118833696
chr2	96265965	TMEM127	reverse	five_prime_utr	96265912
chr12	49371261	SPATS2	forward	five_prime_utr	49460817
chr14	74692301	AREL1	reverse	five_prime_utr	74692176
chr15	74131216	ISLR2	forward	five_prime_utr	74131299
chr1	248845593	ZNF672	forward	five_prime_utr	248847116
chr8	17156394	ZDHHC2	forward	five_prime_utr	17156531
chr15	79923735	ST20-MTHFS	reverse	five_prime_utr	79923577
chr1	179293827	SOAT1	forward	five_prime_utr	179293940
chr1	160205470	PEA15	forward	five_prime_utr	160205526
chr1	45551027	AKR1A1	forward	five_prime_utr	45551077
chr19	9420089	ZNF266	reverse	five_prime_utr	9419094
chr4	48906726	OCIAD2	reverse	five_prime_utr	48904632
chr19	21505699	ZNF429	forward	five_prime_utr	21505743
chr15	56707287	ZNF280D	reverse	five_prime_utr	56707109
chr3	9397894	SETD5	forward	five_prime_utr	9398103
chr6	112087652	FAM229B	forward	five_prime_utr	112087894
chr4	41177573	APBB2	reverse	five_prime_utr	41143038
chr6	21593849	SOX4	forward	five_prime_utr	21593980
chr16	85799555	EMC8	reverse	five_prime_utr	85799436
chr7	1160073	ZFAND2A	reverse	five_prime_utr	1160023
chr11	75815201	UVRAG	forward	five_prime_utr	75815230
chr9	19102790	HAUS6	reverse	five_prime_utr	19102734
chr19	49691240	CPT1C	forward	five_prime_utr	49691344
chr20	17569914	DSTN	forward	five_prime_utr	17569982
chrX	71284433	NONO	forward	five_prime_utr	71284998
chr17	75182455	SUMO2	reverse	five_prime_utr	75182378
chr17	7307506	EIF5A	forward	five_prime_utr	7307565
chr17	42423297	PTRF	reverse	five_prime_utr	42423100
chr6	44226136	SLC29A1	forward	five_prime_utr	44226171
chr10	103394388	USMG5	reverse	five_prime_utr	103394293
chr18	47930392	SMAD2	reverse	five_prime_utr	47930357
chr19	8825074	ZNF558	reverse	five_prime_utr	8825033
chr1	85578149	DDAH1	reverse	five_prime_utr	85496166
chr3	99638646	COL8A1	forward	five_prime_utr	99744991
chr17	49362050	ZNF652	reverse	five_prime_utr	49361997
chr5	139278394	MATR3	forward	five_prime_utr	139279068
chr1	153670997	ILF2	reverse	five_prime_utr	153670929
chr22	20496005	MED15	forward	five_prime_utr	20496040
chr20	49046388	CSE1L	forward	five_prime_utr	49058461
chr5	84384661	EDIL3	reverse	five_prime_utr	84384515
chr17	18781212	TVP23B	forward	five_prime_utr	18781286
chr15	42548725	LRRC57	reverse	five_prime_utr	42548663
chr6	36547338	STK38	reverse	five_prime_utr	36547186
chr11	5505578	AC104389.28	reverse	five_prime_utr	5505501
chr1	145996545	TXNIP	reverse	five_prime_utr	145996480
chr18	74148673	TIMM21	forward	five_prime_utr	74148714
chr11	93479233	SMCO4	reverse	five_prime_utr	93479195
chr16	1964806	RPS2	reverse	five_prime_utr	1964666
chr1	200620663	KIF14	reverse	five_prime_utr	200620400
chr19	52456948	ZNF578	forward	five_prime_utr	52491369
chrX	134915211	MOSPD1	reverse	five_prime_utr	134899508
chr16	20900333	ERI2	reverse	five_prime_utr	20900148
chr12	68808205	MDM2	forward	five_prime_utr	68808291
chr14	49893347	ARF6	forward	five_prime_utr	49893562
chr17	1684823	PRPF8	reverse	five_prime_utr	1684791
chr15	69299022	PAQR5	forward	five_prime_utr	69337380
chr19	50798843	C19orf48	reverse	five_prime_utr	50798724
chr1	171781783	METTL13	forward	five_prime_utr	171781932
chr11	94768425	AMOTL1	forward	five_prime_utr	94768493
chr17	7651214	ATP1B2	forward	five_prime_utr	7651306
chr20	33401480	CDK5RAP1	reverse	five_prime_utr	33401424
chr3	98732404	ST3GAL6	forward	five_prime_utr	98732475
chr10	121598435	FGFR2	reverse	five_prime_utr	121598247
chr1	156767625	PRCC	forward	five_prime_utr	156767729
chr22	31064138	SMTN	forward	five_prime_utr	31080516
chr21	29024724	USP16	forward	five_prime_utr	29024873
chr19	4722549	DPP9	reverse	five_prime_utr	4722502
chr1	174800158	RABGAP1L	forward	five_prime_utr	174800199
chr16	57185867	FAM192A	reverse	five_prime_utr	57178848
chr1	185156854	TRMT1L	reverse	five_prime_utr	185156759
chr4	139301455	NAA15	forward	five_prime_utr	139301631
chr7	127652276	SND1	forward	five_prime_utr	127652323
chr1	45491129	TESK2	reverse	five_prime_utr	45491040
chr4	1241394	CTBP1	reverse	five_prime_utr	1241335
chr10	79069185	ZMIZ1	forward	five_prime_utr	79069274
chr7	65006565	ZNF117	reverse	five_prime_utr	65006362
chr20	17569950	DSTN	forward	five_prime_utr	17569982
chr19	39354022	SAMD4B	forward	five_prime_utr	39354120
chr15	81001324	MESDC1	forward	five_prime_utr	81001410
chr1	244835481	COX20	forward	five_prime_utr	244835531
chr2	169069659	DHRS9	forward	five_prime_utr	169069721
chr1	40531735	ZNF684	forward	five_prime_utr	40531776
chr3	125375325	ZNF148	reverse	five_prime_utr	125375161
chr10	16817451	RSU1	reverse	five_prime_utr	16817311
chr19	57389900	ZNF548	forward	five_prime_utr	57390004
chr10	32056317	KIF5B	reverse	five_prime_utr	32056246
chr2	176002178	LNPK	reverse	five_prime_utr	175995588
chr1	84893176	LPAR3	reverse	five_prime_utr	84893012
chr15	44427757	CTDSPL2	forward	five_prime_utr	44427897
chr7	150323521	LRRC61	forward	five_prime_utr	150326004
chr10	67838147	DNAJC12	reverse	five_prime_utr	67838088
chr9	75088115	NMRK1	reverse	five_prime_utr	75088083
chr1	27234751	WDTC1	forward	five_prime_utr	27234822
chr19	9584481	ZNF121	reverse	five_prime_utr	9569029
chr13	25287475	MTMR6	reverse	five_prime_utr	25287296
chr7	106865380	PIK3CG	forward	five_prime_utr	106865466
chr15	89088414	ABHD2	forward	five_prime_utr	89088539
chr5	115816583	CDO1	reverse	five_prime_utr	115816533
chr19	19033675	ARMC6	forward	five_prime_utr	19033824
chr3	9750014	OGG1	forward	five_prime_utr	9750148
chr12	42326177	PPHLN1	forward	five_prime_utr	42326233
chrX	103064182	BEX1	reverse	five_prime_utr	103063648
chr19	37465418	ZNF569	reverse	five_prime_utr	37465305
chr22	29553730	THOC5	reverse	five_prime_utr	29553608
chr3	49723906	GMPPB	reverse	five_prime_utr	49723832
chr19	40365893	PLD3	forward	five_prime_utr	40365934
chr1	181022824	STX6	reverse	five_prime_utr	181022696
chr2	113182353	PSD4	forward	five_prime_utr	113182412
chr9	133348370	RPL7A	forward	five_prime_utr	133348438
chr10	43409104	HNRNPF	reverse	five_prime_utr	43396537
chr7	150685725	GIMAP2	forward	five_prime_utr	150685865
chr3	52704959	GLT8D1	reverse	five_prime_utr	52704720
chr11	8594132	STK33	reverse	five_prime_utr	8594079
chr12	103930467	HSP90B1	forward	five_prime_utr	103930496
chr7	32495526	AVL9	forward	five_prime_utr	32495615
chr7	43656047	COA1	reverse	five_prime_utr	43648637
chr11	73760734	RAB6A	reverse	five_prime_utr	73760663
chr17	8436008	NDEL1	forward	five_prime_utr	8436049
chr8	144509100	MFSD3	forward	five_prime_utr	144509192
chr1	37859579	MTF1	reverse	five_prime_utr	37857672
chr14	103385837	MARK3	forward	five_prime_utr	103385887
chr8	69563079	SULF1	forward	five_prime_utr	69563584
chr22	41833194	SREBF2	forward	five_prime_utr	41833232
chr20	34792562	NCOA6	reverse	five_prime_utr	34792473
chr19	44072216	ZNF284	forward	five_prime_utr	44072257
chr14	103629337	KLC1	forward	five_prime_utr	103629372
chr8	109540281	EBAG9	forward	five_prime_utr	109540424
chr22	42695595	A4GALT	reverse	five_prime_utr	42695563
chr1	161226055	TOMM40L	forward	five_prime_utr	161226132
chr4	71187337	SLC4A4	forward	five_prime_utr	71187405
chr8	74985935	CRISPLD1	forward	five_prime_utr	74985976
chr7	92833642	CDK6	reverse	five_prime_utr	92833454
chr15	82262663	EFL1	reverse	five_prime_utr	82261785
chr4	184649858	PRIMPOL	forward	five_prime_utr	184649938
chrX	101623776	ARMCX3	forward	five_prime_utr	101623916
chr10	118754870	CACUL1	reverse	five_prime_utr	118754790
chr17	5282374	RABEP1	forward	five_prime_utr	5282421
chr13	46793428	ESD	reverse	five_prime_utr	46793393
chr5	79612924	PAPD4	forward	five_prime_utr	79613962
chr10	94545823	HELLS	forward	five_prime_utr	94545855
chr6	5261532	FARS2	forward	five_prime_utr	5261564
chr12	57611610	ARHGEF25	forward	five_prime_utr	57611696
chrX	47193859	UBA1	forward	five_prime_utr	47193987
chr8	20303864	LZTS1	reverse	five_prime_utr	20303736
chr6	125956903	HINT3	forward	five_prime_utr	125956935
chr17	7252391	ELP5	forward	five_prime_utr	7252435
chr1	112956141	SLC16A1	reverse	five_prime_utr	112956037
chr12	113422452	SDSL	forward	five_prime_utr	113422481
chr8	102239047	RRM2B	reverse	five_prime_utr	102238991
chr1	45688203	TMEM69	forward	five_prime_utr	45688442
chr14	100375300	WARS	reverse	five_prime_utr	100375235
chr8	60517013	RAB2A	forward	five_prime_utr	60517081
chr1	28088555	EYA3	reverse	five_prime_utr	28088520
chr18	79679865	CTDP1	forward	five_prime_utr	79679900
chr20	37346117	SRC	forward	five_prime_utr	37346233
chr7	130492229	MEST	forward	five_prime_utr	130492306
chr19	44213220	ZNF227	forward	five_prime_utr	44213258
chr6	10412273	TFAP2A	reverse	five_prime_utr	10412127
chr21	41427238	MX1	forward	five_prime_utr	41427312
chr16	4538769	CDIP1	reverse	five_prime_utr	4538698
chr14	55027422	SOCS4	forward	five_prime_utr	55043015
chr3	186806354	RFC4	reverse	five_prime_utr	186805598
chr19	23250305	ZNF724	reverse	five_prime_utr	23250273
chr10	5446660	NET1	forward	five_prime_utr	5446719
chr1	231422085	EGLN1	reverse	five_prime_utr	231422023
chr3	143119891	CHST2	forward	five_prime_utr	143119974
chr1	113759160	PHTF1	reverse	five_prime_utr	113759023
chr18	67516739	DSEL	reverse	five_prime_utr	67516578
chr3	184314616	EIF4G1	forward	five_prime_utr	184314672
chr22	45164138	NUP50	forward	five_prime_utr	45164335
chr17	40287879	CDC6	forward	five_prime_utr	40287953
chr1	113759166	PHTF1	reverse	five_prime_utr	113759023
chr8	67062447	CSPP1	forward	five_prime_utr	67062482
chr17	78131281	TMC8	forward	five_prime_utr	78131502
chr1	156767685	PRCC	forward	five_prime_utr	156767729
chr1	27154807	SLC9A1	reverse	five_prime_utr	27154769
chr6	31835088	C6orf48	forward	five_prime_utr	31837240
chrX	51893668	MAGED1	forward	five_prime_utr	51893766
chr22	41800741	CCDC134	forward	five_prime_utr	41800770
chr3	179323182	ZNF639	forward	five_prime_utr	179323295
chr10	80176151	ANXA11	reverse	five_prime_utr	80176086
chr4	55949011	CEP135	forward	five_prime_utr	55952093
chr6	8434427	SLC35B3	reverse	five_prime_utr	8434392
chr7	87154417	DMTF1	forward	five_prime_utr	87154452
chr20	381116	TRIB3	forward	five_prime_utr	381355
chr1	86914854	HS2ST1	forward	five_prime_utr	86915018
chr11	68268191	C11orf24	reverse	five_prime_utr	68268066
chr3	152299437	MBNL1	forward	five_prime_utr	152299496
chr5	139279040	SNHG4	forward	five_prime_utr	139279153
chr19	55599504	FIZ1	reverse	five_prime_utr	55599466
chr6	33289615	PFDN6	forward	five_prime_utr	33289811
chr11	57672727	ZDHHC5	forward	five_prime_utr	57672831
chr17	40100212	NR1D1	reverse	five_prime_utr	40100120
chr5	150449579	RPS14	reverse	five_prime_utr	150449493
chr12	57632606	B4GALNT1	reverse	five_prime_utr	57632577
chr8	130016639	FAM49B	reverse	five_prime_utr	130016559
chr2	234983286	SH3BP4	forward	five_prime_utr	234995351
chr15	44729362	TRIM69	forward	five_prime_utr	44731366
chr11	14359162	RRAS2	reverse	five_prime_utr	14359124
chr3	196287625	PCYT1A	reverse	five_prime_utr	196283499
chr17	69414765	MAP2K6	forward	five_prime_utr	69414836
chr5	154938168	GEMIN5	reverse	five_prime_utr	154938136
chr3	150408388	TSC22D2	forward	five_prime_utr	150408543
chr2	73234297	CCT7	forward	five_prime_utr	73234365
chr3	77040637	ROBO2	forward	five_prime_utr	77040672
chr10	113853853	DCLRE1A	reverse	five_prime_utr	113853797
chr11	65382373	SLC25A45	reverse	five_prime_utr	65382287
chr10	25016781	THNSL1	forward	five_prime_utr	25021837
chr6	75602054	SENP6	forward	five_prime_utr	75602293
chr20	3149227	FASTKD5	reverse	five_prime_utr	3149114
chr1	161524554	RP11-25K21.6	forward	five_prime_utr	161524592
chr12	112418971	PTPN11	forward	five_prime_utr	112419069
chr7	106285037	NAMPT	reverse	five_prime_utr	106284957
chr11	62124027	INCENP	forward	five_prime_utr	62124059
chr8	56211814	CHCHD7	forward	five_prime_utr	56212815
chr8	100952078	YWHAZ	reverse	five_prime_utr	100952043
chr2	86720415	RMND5A	forward	five_prime_utr	86720471
chr6	30327659	TRIM39	forward	five_prime_utr	30327700
chr19	35937300	LRFN3	forward	five_prime_utr	35937341
chr7	43650700	COA1	reverse	five_prime_utr	43648637
chrX	119605825	NKRF	reverse	five_prime_utr	119605727
chr17	36533994	MYO19	reverse	five_prime_utr	36532670
chr8	115668610	TRPS1	reverse	five_prime_utr	115668365
chr20	49174234	STAU1	reverse	five_prime_utr	49174172
chr6	144095560	SF3B5	reverse	five_prime_utr	144095525
chr12	118359557	TAOK3	reverse	five_prime_utr	118266734
chr3	86991095	VGLL3	reverse	five_prime_utr	86990961
chr3	9792671	ARPC4	forward	five_prime_utr	9792709
chr14	93184361	MOAP1	reverse	five_prime_utr	93184269
chr4	48831347	OCIAD1	forward	five_prime_utr	48831490
chr1	109619960	AMPD2	forward	five_prime_utr	109620112
chr14	61695640	HIF1A	forward	five_prime_utr	61695780
chr6	24719418	C6orf62	reverse	five_prime_utr	24719320
chr2	239400958	HDAC4	reverse	five_prime_utr	239400716
chr12	4648837	AKAP3	reverse	five_prime_utr	4648793
chr3	3844423	LRRN1	forward	five_prime_utr	3844539
chr14	38208565	SSTR1	forward	five_prime_utr	38209234
chr5	151772414	G3BP1	forward	five_prime_utr	151772479
chr15	34988193	ZNF770	reverse	five_prime_utr	34983440
chr16	89658159	SPATA33	forward	five_prime_utr_three_prime_utr	89658233
chr14	64503064	ZBTB25	reverse	five_prime_utr	64502761
chr16	30761916	CCDC189	reverse	five_prime_utr	30761827
chr8	60741264	CHD7	forward	five_prime_utr	60741326
chr17	35578543	PEX12	reverse	five_prime_utr	35578295
chr8	124999235	SQLE	forward	five_prime_utr	124999345
chr6	39229384	KCNK5	reverse	five_prime_utr	39229148
chr1	40509763	EXO5	forward	five_prime_utr	40514525
chr3	43105966	POMGNT2	reverse	five_prime_utr	43081452
chr1	74733023	CRYZ	reverse	five_prime_utr	74724828
chr11	94768409	AMOTL1	forward	five_prime_utr	94768498
chr3	48425309	PLXNB1	reverse	five_prime_utr	48424614
chr14	51554681	FRMD6	forward	five_prime_utr	51579026
chrX	134899842	MOSPD1	reverse	five_prime_utr	134899508
chr5	65561540	CENPK	reverse	five_prime_utr	65561511
chr5	131316026	CDC42SE2	forward	five_prime_utr	131316103
chr7	43869456	MRPS24	reverse	five_prime_utr	43869406
chr6	100464738	SIM1	reverse	five_prime_utr	100464658
chr12	57111295	STAT6	reverse	five_prime_utr	57111161
chr20	45857375	ACOT8	reverse	five_prime_utr	45857316
chr6	149648616	KATNA1	reverse	five_prime_utr	149648332
chr4	1241391	CTBP1	reverse	five_prime_utr	1241335
chr4	48831211	OCIAD1	forward	five_prime_utr	48831402
chr6	19837514	ID4	forward	five_prime_utr	19837564
chr1	173824383	CENPL	reverse	five_prime_utr	173823979
chr1	181022811	STX6	reverse	five_prime_utr	181022776
chr14	65102492	MAX	reverse	five_prime_utr	65102457
chr1	160205359	PEA15	forward	five_prime_utr	160205526
chr1	149936775	MTMR11	reverse	five_prime_utr	149936677
chr5	173329257	STC2	reverse	five_prime_utr	173329207
chr19	50798904	C19orf48	reverse	five_prime_utr	50798719
chr14	24136217	PSME1	forward	five_prime_utr	24136246
chr17	37491599	DUSP14	forward	five_prime_utr	37510716
chr3	131026741	ASTE1	reverse	five_prime_utr	131025506
chr10	124744164	FAM53B	reverse	five_prime_utr	124744009
chr14	73410002	NUMB	reverse	five_prime_utr	73355753
chr19	14006275	RFX1	reverse	five_prime_utr	14006099
chr15	44729373	TRIM69	forward	five_prime_utr	44729501
chr8	29350498	DUSP4	reverse	five_prime_utr	29350364
chr8	120445427	MTBP	forward	five_prime_utr	120445459
chr2	222887879	ACSL3	forward	five_prime_utr	222900771
chr8	115668633	TRPS1	reverse	five_prime_utr	115668559
chr18	35290130	ZSCAN30	reverse	five_prime_utr	35267637
chr8	126557440	FAM84B	reverse	five_prime_utr	126557408
chrX	110003543	TMEM164	forward	five_prime_utr	110003590
chr17	28598998	SPAG5	reverse	five_prime_utr	28598969
chr16	3283751	ZNF263	forward	five_prime_utr	3283798
chr7	76409475	SSC4D	reverse	five_prime_utr	76404472
chr18	49491775	RPL17	reverse	five_prime_utr	49491692
chr1	50969311	CDKN2C	forward	five_prime_utr	50969550
chr5	151686890	SPARC	reverse	five_prime_utr	151686855
chr1	32180075	TXLNA	forward	five_prime_utr	32180161
chr3	107526395	BBX	forward	five_prime_utr	107645906
chr16	71808973	AP1G1	reverse	five_prime_utr	71808070
chr12	1027861	ERC1	forward	five_prime_utr	1027893
chr19	36218152	ZNF146	forward	five_prime_utr	36228751
chr18	46173608	C18orf25	forward	five_prime_utr	46173784
chr3	47475459	SCAP	reverse	five_prime_utr	47443006
chr1	93346122	DR1	forward	five_prime_utr	93346334
chr9	114388014	AKNA	reverse	five_prime_utr	114387856
chr15	74687152	EDC3	reverse	five_prime_utr	74687087
chr20	5126534	PCNA	reverse	five_prime_utr	5119875
chr11	46700587	ARHGAP1	reverse	five_prime_utr	46696146
chr1	161132639	DEDD	reverse	five_prime_utr	161130828
chr17	28662066	SDF2	reverse	five_prime_utr	28661998
chrX	14873031	FANCB	reverse	five_prime_utr	14872987
chr18	67516455	DSEL	reverse	five_prime_utr	67516357
chr1	24415880	NIPAL3	forward	five_prime_utr	24419367
chr8	73970581	TCEB1	reverse	five_prime_utr	73964530
chr3	156674696	TIPARP	forward	five_prime_utr	156674800
chr6	135497644	AHI1	reverse	five_prime_utr	135497231
chr7	43583185	STK17A	forward	five_prime_utr	43583238
