chr	pos	gene	strand	type	stop_pos
chr3	9439578	SETD5	forward	five_prime_utr	9439787
chr6	112408855	FAM229B	forward	five_prime_utr	112409097
chr4	41179590	APBB2	reverse	five_prime_utr	41145055
chr6	21594080	SOX4	forward	five_prime_utr	21594211
chr16	85833161	EMC8	reverse	five_prime_utr	85833042
chr7	1199709	ZFAND2A	reverse	five_prime_utr	1199659
chr11	75526246	UVRAG	forward	five_prime_utr	75526275
chr9	19102788	HAUS6	reverse	five_prime_utr	19102732
chr19	50194497	CPT1C	forward	five_prime_utr	50194601
chr20	17550559	DSTN	forward	five_prime_utr	17550627
chrX	70504283	NONO	forward	five_prime_utr	70504848
chr17	73178550	SUMO2	reverse	five_prime_utr	73178473
chr17	7210825	EIF5A	forward	five_prime_utr	7210884
chr17	40575315	PTRF	reverse	five_prime_utr	40575118
chr6	44193873	SLC29A1	forward	five_prime_utr	44193908
chr10	105154145	USMG5	reverse	five_prime_utr	105154050
chr18	45456763	SMAD2	reverse	five_prime_utr	45456728
chr19	8935750	ZNF558	reverse	five_prime_utr	8935709
chr1	86043832	DDAH1	reverse	five_prime_utr	85961849
chr3	99357490	COL8A1	forward	five_prime_utr	99463835
chr17	47439412	ZNF652	reverse	five_prime_utr	47439359
chr5	138614083	MATR3	forward	five_prime_utr	138614757
chr1	153643473	ILF2	reverse	five_prime_utr	153643405
chr22	20850292	MED15	forward	five_prime_utr	20850327
chr20	47662925	CSE1L	forward	five_prime_utr	47674998
chr5	83680479	EDIL3	reverse	five_prime_utr	83680333
chr17	18684525	TVP23B	forward	five_prime_utr	18684599
chr15	42840923	LRRC57	reverse	five_prime_utr	42840861
chr6	36515115	STK38	reverse	five_prime_utr	36514963
chr11	5526808	AC104389.28	reverse	five_prime_utr	5526731
chr1	145438522	TXNIP	reverse	five_prime_utr	145438587
chr18	71815908	TIMM21	forward	five_prime_utr	71815949
chr11	93212399	SMCO4	reverse	five_prime_utr	93212361
chr16	2014807	RPS2	reverse	five_prime_utr	2014667
chr1	200589791	KIF14	reverse	five_prime_utr	200589528
chr19	52960201	ZNF578	forward	five_prime_utr	52994622
chrX	134049241	MOSPD1	reverse	five_prime_utr	134033538
chr16	20911655	ERI2	reverse	five_prime_utr	20911470
chr12	69201985	MDM2	forward	five_prime_utr	69202071
chr14	50360065	ARF6	forward	five_prime_utr	50360280
chr17	1588117	PRPF8	reverse	five_prime_utr	1588085
chr15	69591361	PAQR5	forward	five_prime_utr	69629719
chr19	51302100	C19orf48	reverse	five_prime_utr	51301981
chr1	171750923	METTL13	forward	five_prime_utr	171751072
chr11	94501591	AMOTL1	forward	five_prime_utr	94501659
chr17	7554532	ATP1B2	forward	five_prime_utr	7554624
chr20	31989286	CDK5RAP1	reverse	five_prime_utr	31989230
chr3	98451248	ST3GAL6	forward	five_prime_utr	98451319
chr10	123357949	FGFR2	reverse	five_prime_utr	123357761
chr1	156737417	PRCC	forward	five_prime_utr	156737521
chr22	31460124	SMTN	forward	five_prime_utr	31476502
chr21	30397045	USP16	forward	five_prime_utr	30397194
chr19	4722561	DPP9	reverse	five_prime_utr	4722514
chr1	174769296	RABGAP1L	forward	five_prime_utr	174769337
chr16	57219779	FAM192A	reverse	five_prime_utr	57212760
chr1	185125986	TRMT1L	reverse	five_prime_utr	185125891
chr4	140222609	NAA15	forward	five_prime_utr	140222785
chr7	127292330	SND1	forward	five_prime_utr	127292377
chr1	45956801	TESK2	reverse	five_prime_utr	45956712
chr4	1235182	CTBP1	reverse	five_prime_utr	1235123
chr10	80828942	ZMIZ1	forward	five_prime_utr	80829031
chr7	64466943	ZNF117	reverse	five_prime_utr	64466740
chr20	17550595	DSTN	forward	five_prime_utr	17550627
chr19	39844662	SAMD4B	forward	five_prime_utr	39844760
chr15	81293665	MESDC1	forward	five_prime_utr	81293751
chr1	244998783	COX20	forward	five_prime_utr	244998833
chr2	169926169	DHRS9	forward	five_prime_utr	169926231
chr1	40997407	ZNF684	forward	five_prime_utr	40997448
chr3	125094169	ZNF148	reverse	five_prime_utr	125094005
chr10	16859450	RSU1	reverse	five_prime_utr	16859310
chr19	57901268	ZNF548	forward	five_prime_utr	57901372
chr10	32345245	KIF5B	reverse	five_prime_utr	32345174
chr2	176866906	LNPK	reverse	five_prime_utr	176860316
chr1	85358859	LPAR3	reverse	five_prime_utr	85358695
chr15	44719955	CTDSPL2	forward	five_prime_utr	44720095
chr7	150020610	LRRC61	forward	five_prime_utr	150023093
chr10	69597905	DNAJC12	reverse	five_prime_utr	69597846
chr9	77703031	NMRK1	reverse	five_prime_utr	77702999
chr1	27561242	WDTC1	forward	five_prime_utr	27561313
chr19	9695157	ZNF121	reverse	five_prime_utr	9679705
chr13	25861613	MTMR6	reverse	five_prime_utr	25861434
chr7	106505825	PIK3CG	forward	five_prime_utr	106505911
chr15	89631645	ABHD2	forward	five_prime_utr	89631770
chr5	115152280	CDO1	reverse	five_prime_utr	115152230
chr19	19144484	ARMC6	forward	five_prime_utr	19144633
chr3	9791698	OGG1	forward	five_prime_utr	9791832
chr12	42719979	PPHLN1	forward	five_prime_utr	42720035
chrX	102319110	BEX1	reverse	five_prime_utr	102318576
chr19	37956320	ZNF569	reverse	five_prime_utr	37956207
chr22	29949719	THOC5	reverse	five_prime_utr	29949597
chr3	49761339	GMPPB	reverse	five_prime_utr	49761265
chr19	40871800	PLD3	forward	five_prime_utr	40871841
chr1	180991960	STX6	reverse	five_prime_utr	180991832
chr2	113939930	PSD4	forward	five_prime_utr	113939989
chr9	136215225	RPL7A	forward	five_prime_utr	136215293
chr10	43904552	HNRNPF	reverse	five_prime_utr	43891985
chr7	150382813	GIMAP2	forward	five_prime_utr	150382953
chr3	52738975	GLT8D1	reverse	five_prime_utr	52738736
chr11	8615679	STK33	reverse	five_prime_utr	8615626
chr12	104324245	HSP90B1	forward	five_prime_utr	104324274
chr7	32535138	AVL9	forward	five_prime_utr	32535227
chr7	43695646	COA1	reverse	five_prime_utr	43688236
chr11	73471779	RAB6A	reverse	five_prime_utr	73471708
chr17	8339326	NDEL1	forward	five_prime_utr	8339367
chr8	145734483	MFSD3	forward	five_prime_utr	145734575
chr1	38325251	MTF1	reverse	five_prime_utr	38323344
chr14	103852174	MARK3	forward	five_prime_utr	103852224
chr8	70475314	SULF1	forward	five_prime_utr	70475819
chr22	42229198	SREBF2	forward	five_prime_utr	42229236
chr20	33380365	NCOA6	reverse	five_prime_utr	33380276
chr19	44576369	ZNF284	forward	five_prime_utr	44576410
chr14	104095674	KLC1	forward	five_prime_utr	104095709
chr8	110552510	EBAG9	forward	five_prime_utr	110552653
chr22	43091601	A4GALT	reverse	five_prime_utr	43091569
chr1	161195845	TOMM40L	forward	five_prime_utr	161195922
chr4	72053054	SLC4A4	forward	five_prime_utr	72053122
chr8	75898170	CRISPLD1	forward	five_prime_utr	75898211
chr7	92462956	CDK6	reverse	five_prime_utr	92462768
chr15	82555004	EFL1	reverse	five_prime_utr	82554126
chr4	185571012	PRIMPOL	forward	five_prime_utr	185571092
chrX	100878766	ARMCX3	forward	five_prime_utr	100878906
chr10	120514382	CACUL1	reverse	five_prime_utr	120514302
chr17	5185669	RABEP1	forward	five_prime_utr	5185716
chr13	47367563	ESD	reverse	five_prime_utr	47367528
chr5	78908747	PAPD4	forward	five_prime_utr	78909785
chr10	96305580	HELLS	forward	five_prime_utr	96305612
chr6	5261765	FARS2	forward	five_prime_utr	5261797
chr12	58005393	ARHGEF25	forward	five_prime_utr	58005479
chrX	47053258	UBA1	forward	five_prime_utr	47053386
chr8	20161375	LZTS1	reverse	five_prime_utr	20161247
chr6	126278049	HINT3	forward	five_prime_utr	126278081
chr17	7155710	ELP5	forward	five_prime_utr	7155754
chr1	113498763	SLC16A1	reverse	five_prime_utr	113498659
chr12	113860257	SDSL	forward	five_prime_utr	113860286
chr8	103251275	RRM2B	reverse	five_prime_utr	103251219
chr1	46153875	TMEM69	forward	five_prime_utr	46154114
chr14	100841637	WARS	reverse	five_prime_utr	100841572
chr8	61429572	RAB2A	forward	five_prime_utr	61429640
chr1	28415066	EYA3	reverse	five_prime_utr	28415031
chr18	77439865	CTDP1	forward	five_prime_utr	77439900
chr20	35974520	SRC	forward	five_prime_utr	35974636
chr7	130132070	MEST	forward	five_prime_utr	130132147
chr19	44717373	ZNF227	forward	five_prime_utr	44717411
chr6	10412506	TFAP2A	reverse	five_prime_utr	10412360
chr21	42799165	MX1	forward	five_prime_utr	42799239
chr16	4588770	CDIP1	reverse	five_prime_utr	4588699
chr14	55494140	SOCS4	forward	five_prime_utr	55509733
chr3	186524143	RFC4	reverse	five_prime_utr	186523387
chr19	23433107	ZNF724	reverse	five_prime_utr	23433075
chr10	5488623	NET1	forward	five_prime_utr	5488682
chr1	231557831	EGLN1	reverse	five_prime_utr	231557769
chr3	142838733	CHST2	forward	five_prime_utr	142838816
chr1	114301782	PHTF1	reverse	five_prime_utr	114301645
chr18	65183976	DSEL	reverse	five_prime_utr	65183815
chr3	184032404	EIF4G1	forward	five_prime_utr	184032460
chr22	45560019	NUP50	forward	five_prime_utr	45560216
chr17	38444131	CDC6	forward	five_prime_utr	38444205
chr1	114301788	PHTF1	reverse	five_prime_utr	114301645
chr8	67974682	CSPP1	forward	five_prime_utr	67974717
chr17	76127362	TMC8	forward	five_prime_utr	76127583
chr1	156737477	PRCC	forward	five_prime_utr	156737521
chr1	27481298	SLC9A1	reverse	five_prime_utr	27481260
chr6	31802865	C6orf48	forward	five_prime_utr	31805017
chrX	51636764	MAGED1	forward	five_prime_utr	51636862
chr22	42196745	CCDC134	forward	five_prime_utr	42196774
chr3	179040970	ZNF639	forward	five_prime_utr	179041083
chr10	81935907	ANXA11	reverse	five_prime_utr	81935842
chr4	56815177	CEP135	forward	five_prime_utr	56818259
chr6	8434660	SLC35B3	reverse	five_prime_utr	8434625
chr7	86783733	DMTF1	forward	five_prime_utr	86783768
chr20	361760	TRIB3	forward	five_prime_utr	361999
chr1	87380537	HS2ST1	forward	five_prime_utr	87380701
chr11	68035659	C11orf24	reverse	five_prime_utr	68035534
chr3	152017226	MBNL1	forward	five_prime_utr	152017285
chr5	138614729	SNHG4	forward	five_prime_utr	138614842
chr19	56110870	FIZ1	reverse	five_prime_utr	56110832
chr6	33257392	PFDN6	forward	five_prime_utr	33257588
chr11	57440199	ZDHHC5	forward	five_prime_utr	57440303
chr17	38256465	NR1D1	reverse	five_prime_utr	38256373
chr5	149829142	RPS14	reverse	five_prime_utr	149829056
chr12	58026389	B4GALNT1	reverse	five_prime_utr	58026360
chr8	131028885	FAM49B	reverse	five_prime_utr	131028805
chr2	235891930	SH3BP4	forward	five_prime_utr	235903995
chr15	45021560	TRIM69	forward	five_prime_utr	45023564
chr11	14380708	RRAS2	reverse	five_prime_utr	14380670
chr3	196014496	PCYT1A	reverse	five_prime_utr	196010370
chr17	67410906	MAP2K6	forward	five_prime_utr	67410977
chr5	154317728	GEMIN5	reverse	five_prime_utr	154317696
chr3	150126175	TSC22D2	forward	five_prime_utr	150126330
chr2	73461425	CCT7	forward	five_prime_utr	73461493
chr3	77089788	ROBO2	forward	five_prime_utr	77089823
chr10	115613612	DCLRE1A	reverse	five_prime_utr	115613556
chr11	65149844	SLC25A45	reverse	five_prime_utr	65149758
chr10	25305710	THNSL1	forward	five_prime_utr	25310766
chr6	76311770	SENP6	forward	five_prime_utr	76312009
chr20	3129873	FASTKD5	reverse	five_prime_utr	3129760
chr1	161494344	RP11-25K21.6	forward	five_prime_utr	161494382
chr12	112856775	PTPN11	forward	five_prime_utr	112856873
chr7	105925483	NAMPT	reverse	five_prime_utr	105925403
chr11	61891499	INCENP	forward	five_prime_utr	61891531
chr8	57124373	CHCHD7	forward	five_prime_utr	57125374
chr8	101964306	YWHAZ	reverse	five_prime_utr	101964271
chr2	86947538	RMND5A	forward	five_prime_utr	86947594
chr6	30295436	TRIM39	forward	five_prime_utr	30295477
chr19	36428202	LRFN3	forward	five_prime_utr	36428243
chr7	43690299	COA1	reverse	five_prime_utr	43688236
chrX	118739788	NKRF	reverse	five_prime_utr	118739690
chr17	34889821	MYO19	reverse	five_prime_utr	34888500
chr8	116680837	TRPS1	reverse	five_prime_utr	116680592
chr20	47790771	STAU1	reverse	five_prime_utr	47790709
chr6	144416697	SF3B5	reverse	five_prime_utr	144416662
chr12	118797362	TAOK3	reverse	five_prime_utr	118704539
chr3	87040245	VGLL3	reverse	five_prime_utr	87040111
chr3	9834355	ARPC4	forward	five_prime_utr	9834393
chr14	93650706	MOAP1	reverse	five_prime_utr	93650614
chr4	48833364	OCIAD1	forward	five_prime_utr	48833507
chr1	110162582	AMPD2	forward	five_prime_utr	110162734
chr14	62162358	HIF1A	forward	five_prime_utr	62162498
chr6	24719646	C6orf62	reverse	five_prime_utr	24719548
chr2	240322652	HDAC4	reverse	five_prime_utr	240322410
chr12	4758003	AKAP3	reverse	five_prime_utr	4757959
chr3	3886107	LRRN1	forward	five_prime_utr	3886223
chr14	38677770	SSTR1	forward	five_prime_utr	38678439
chr5	151151975	G3BP1	forward	five_prime_utr	151152040
chr15	35280394	ZNF770	reverse	five_prime_utr	35275641
chr16	89724567	SPATA33	forward	five_prime_utr_three_prime_utr	89724641
chr14	64969782	ZBTB25	reverse	five_prime_utr	64969479
chr16	30773237	CCDC189	reverse	five_prime_utr	30773148
chr8	61653823	CHD7	forward	five_prime_utr	61653885
chr17	33905562	PEX12	reverse	five_prime_utr	33905314
chr8	126011477	SQLE	forward	five_prime_utr	126011587
chr6	39197160	KCNK5	reverse	five_prime_utr	39196924
chr1	40975435	EXO5	forward	five_prime_utr	40980197
chr3	43147458	POMGNT2	reverse	five_prime_utr	43122944
chr1	75198707	CRYZ	reverse	five_prime_utr	75190512
chr11	94501575	AMOTL1	forward	five_prime_utr	94501664
chr3	48466718	PLXNB1	reverse	five_prime_utr	48466023
chr14	52021399	FRMD6	forward	five_prime_utr	52045744
chrX	134033872	MOSPD1	reverse	five_prime_utr	134033538
chr5	64857367	CENPK	reverse	five_prime_utr	64857338
chr5	130651719	CDC42SE2	forward	five_prime_utr	130651796
chr7	43909055	MRPS24	reverse	five_prime_utr	43909005
chr6	100912614	SIM1	reverse	five_prime_utr	100912534
chr12	57505078	STAT6	reverse	five_prime_utr	57504944
chr20	44486014	ACOT8	reverse	five_prime_utr	44485955
chr6	149969752	KATNA1	reverse	five_prime_utr	149969468
chr4	1235179	CTBP1	reverse	five_prime_utr	1235123
chr4	48833228	OCIAD1	forward	five_prime_utr	48833419
chr6	19837745	ID4	forward	five_prime_utr	19837795
chr1	173793521	CENPL	reverse	five_prime_utr	173793117
chr1	180991947	STX6	reverse	five_prime_utr	180991912
chr14	65569210	MAX	reverse	five_prime_utr	65569175
chr1	160175149	PEA15	forward	five_prime_utr	160175316
chr1	149908668	MTMR11	reverse	five_prime_utr	149908570
chr5	172756260	STC2	reverse	five_prime_utr	172756210
chr19	51302161	C19orf48	reverse	five_prime_utr	51301976
chr14	24605426	PSME1	forward	five_prime_utr	24605455
chr17	35851705	DUSP14	forward	five_prime_utr	35870818
chr3	130745585	ASTE1	reverse	five_prime_utr	130744350
chr10	126432733	FAM53B	reverse	five_prime_utr	126432578
chr14	73876710	NUMB	reverse	five_prime_utr	73822461
chr19	14117087	RFX1	reverse	five_prime_utr	14116911
chr15	45021571	TRIM69	forward	five_prime_utr	45021699
chr8	29208015	DUSP4	reverse	five_prime_utr	29207881
chr8	121457667	MTBP	forward	five_prime_utr	121457699
chr2	223752597	ACSL3	forward	five_prime_utr	223765489
chr8	116680860	TRPS1	reverse	five_prime_utr	116680786
chr18	32870094	ZSCAN30	reverse	five_prime_utr	32847601
chr8	127569685	FAM84B	reverse	five_prime_utr	127569653
chrX	109246771	TMEM164	forward	five_prime_utr	109246818
chr17	26926016	SPAG5	reverse	five_prime_utr	26925987
chr16	3333751	ZNF263	forward	five_prime_utr	3333798
chr7	76038792	SSC4D	reverse	five_prime_utr	76033789
chr18	47018145	RPL17	reverse	five_prime_utr	47018062
chr1	51434983	CDKN2C	forward	five_prime_utr	51435222
chr5	151066451	SPARC	reverse	five_prime_utr	151066416
chr1	32645676	TXLNA	forward	five_prime_utr	32645762
chr3	107245242	BBX	forward	five_prime_utr	107364753
chr16	71842876	AP1G1	reverse	five_prime_utr	71841973
chr12	1137027	ERC1	forward	five_prime_utr	1137059
chr19	36709054	ZNF146	forward	five_prime_utr	36719653
chr18	43753574	C18orf25	forward	five_prime_utr	43753750
chr3	47516949	SCAP	reverse	five_prime_utr	47484496
chr1	93811679	DR1	forward	five_prime_utr	93811891
chr9	117150294	AKNA	reverse	five_prime_utr	117150136
chr15	74979493	EDC3	reverse	five_prime_utr	74979428
chr20	5107180	PCNA	reverse	five_prime_utr	5100521
chr11	46722137	ARHGAP1	reverse	five_prime_utr	46717696
chr1	161102429	DEDD	reverse	five_prime_utr	161100618
chr17	26989084	SDF2	reverse	five_prime_utr	26989016
chrX	14891153	FANCB	reverse	five_prime_utr	14891109
chr18	65183692	DSEL	reverse	five_prime_utr	65183594
chr1	24742370	NIPAL3	forward	five_prime_utr	24745857
chr8	74882816	TCEB1	reverse	five_prime_utr	74876765
chr3	156392485	TIPARP	forward	five_prime_utr	156392589
chr6	135818782	AHI1	reverse	five_prime_utr	135818369
chr7	43622784	STK17A	forward	five_prime_utr	43622837
